Configuration Results:
Default AMAT: 1.116866822729605, Default Area: 40000.0
Sets: 2, Ways: 2, Block Size: 64, Hit Rate: 48.70%, AMAT: 3.05, Area: 2500.00, AMAT Diff: 173.26%, Area Diff: -93.75%, Total Diff: 79.51%
Sets: 2, Ways: 4, Block Size: 64, Hit Rate: 48.70%, AMAT: 3.05, Area: 5000.00, AMAT Diff: 173.26%, Area Diff: -87.50%, Total Diff: 85.76%
Sets: 2, Ways: 8, Block Size: 64, Hit Rate: 48.70%, AMAT: 3.05, Area: 10000.00, AMAT Diff: 173.26%, Area Diff: -75.00%, Total Diff: 98.26%
Sets: 4, Ways: 2, Block Size: 64, Hit Rate: 62.72%, AMAT: 2.49, Area: 5000.00, AMAT Diff: 123.04%, Area Diff: -87.50%, Total Diff: 35.54%
Sets: 4, Ways: 4, Block Size: 64, Hit Rate: 62.72%, AMAT: 2.49, Area: 10000.00, AMAT Diff: 123.04%, Area Diff: -75.00%, Total Diff: 48.04%
Sets: 4, Ways: 8, Block Size: 64, Hit Rate: 62.72%, AMAT: 2.49, Area: 20000.00, AMAT Diff: 123.04%, Area Diff: -50.00%, Total Diff: 73.04%
Sets: 8, Ways: 2, Block Size: 64, Hit Rate: 76.21%, AMAT: 1.95, Area: 10000.00, AMAT Diff: 74.74%, Area Diff: -75.00%, Total Diff: -0.26%
Sets: 8, Ways: 4, Block Size: 64, Hit Rate: 76.21%, AMAT: 1.95, Area: 20000.00, AMAT Diff: 74.74%, Area Diff: -50.00%, Total Diff: 24.74%
Sets: 8, Ways: 8, Block Size: 64, Hit Rate: 76.21%, AMAT: 1.95, Area: 40000.00, AMAT Diff: 74.74%, Area Diff: 0.00%, Total Diff: 74.74%
Sets: 16, Ways: 2, Block Size: 64, Hit Rate: 80.58%, AMAT: 1.78, Area: 20000.00, AMAT Diff: 59.07%, Area Diff: -50.00%, Total Diff: 9.07%
Sets: 16, Ways: 4, Block Size: 64, Hit Rate: 80.58%, AMAT: 1.78, Area: 40000.00, AMAT Diff: 59.07%, Area Diff: 0.00%, Total Diff: 59.07%
Sets: 16, Ways: 8, Block Size: 64, Hit Rate: 80.58%, AMAT: 1.78, Area: 80000.00, AMAT Diff: 59.07%, Area Diff: 100.00%, Total Diff: 159.07%
Sets: 32, Ways: 2, Block Size: 64, Hit Rate: 84.31%, AMAT: 1.63, Area: 40000.00, AMAT Diff: 45.73%, Area Diff: 0.00%, Total Diff: 45.73%
Sets: 32, Ways: 4, Block Size: 64, Hit Rate: 84.31%, AMAT: 1.63, Area: 80000.00, AMAT Diff: 45.73%, Area Diff: 100.00%, Total Diff: 145.73%
Sets: 32, Ways: 8, Block Size: 64, Hit Rate: 84.31%, AMAT: 1.63, Area: 160000.00, AMAT Diff: 45.73%, Area Diff: 300.00%, Total Diff: 345.73%
Sets: 64, Ways: 2, Block Size: 64, Hit Rate: 92.00%, AMAT: 1.32, Area: 80000.00, AMAT Diff: 18.20%, Area Diff: 100.00%, Total Diff: 118.20%
Sets: 64, Ways: 4, Block Size: 64, Hit Rate: 92.00%, AMAT: 1.32, Area: 160000.00, AMAT Diff: 18.20%, Area Diff: 300.00%, Total Diff: 318.20%
Sets: 64, Ways: 8, Block Size: 64, Hit Rate: 92.00%, AMAT: 1.32, Area: 320000.00, AMAT Diff: 18.20%, Area Diff: 700.00%, Total Diff: 718.20%
Sets: 128, Ways: 2, Block Size: 64, Hit Rate: 95.33%, AMAT: 1.19, Area: 160000.00, AMAT Diff: 6.26%, Area Diff: 300.00%, Total Diff: 306.26%
Sets: 128, Ways: 4, Block Size: 64, Hit Rate: 95.33%, AMAT: 1.19, Area: 320000.00, AMAT Diff: 6.26%, Area Diff: 700.00%, Total Diff: 706.26%
Sets: 128, Ways: 8, Block Size: 64, Hit Rate: 95.33%, AMAT: 1.19, Area: 640000.00, AMAT Diff: 6.26%, Area Diff: 1500.00%, Total Diff: 1506.26%
Sets: 256, Ways: 2, Block Size: 64, Hit Rate: 97.47%, AMAT: 1.10, Area: 320000.00, AMAT Diff: -1.39%, Area Diff: 700.00%, Total Diff: 698.61%
Sets: 256, Ways: 4, Block Size: 64, Hit Rate: 97.47%, AMAT: 1.10, Area: 640000.00, AMAT Diff: -1.39%, Area Diff: 1500.00%, Total Diff: 1498.61%
Sets: 256, Ways: 8, Block Size: 64, Hit Rate: 97.47%, AMAT: 1.10, Area: 1280000.00, AMAT Diff: -1.39%, Area Diff: 3100.00%, Total Diff: 3098.61%
Sets: 2, Ways: 2, Block Size: 128, Hit Rate: 77.00%, AMAT: 1.92, Area: 2500.00, AMAT Diff: 71.89%, Area Diff: -93.75%, Total Diff: -21.86%
Sets: 2, Ways: 4, Block Size: 128, Hit Rate: 77.00%, AMAT: 1.92, Area: 5000.00, AMAT Diff: 71.89%, Area Diff: -87.50%, Total Diff: -15.61%
Sets: 2, Ways: 8, Block Size: 128, Hit Rate: 77.00%, AMAT: 1.92, Area: 10000.00, AMAT Diff: 71.89%, Area Diff: -75.00%, Total Diff: -3.11%
Sets: 4, Ways: 2, Block Size: 128, Hit Rate: 85.61%, AMAT: 1.58, Area: 5000.00, AMAT Diff: 41.06%, Area Diff: -87.50%, Total Diff: -46.44%
Sets: 4, Ways: 4, Block Size: 128, Hit Rate: 85.61%, AMAT: 1.58, Area: 10000.00, AMAT Diff: 41.06%, Area Diff: -75.00%, Total Diff: -33.94%
Sets: 4, Ways: 8, Block Size: 128, Hit Rate: 85.61%, AMAT: 1.58, Area: 20000.00, AMAT Diff: 41.06%, Area Diff: -50.00%, Total Diff: -8.94%
Sets: 8, Ways: 2, Block Size: 128, Hit Rate: 88.78%, AMAT: 1.45, Area: 10000.00, AMAT Diff: 29.73%, Area Diff: -75.00%, Total Diff: -45.27%
Sets: 8, Ways: 4, Block Size: 128, Hit Rate: 88.78%, AMAT: 1.45, Area: 20000.00, AMAT Diff: 29.73%, Area Diff: -50.00%, Total Diff: -20.27%
Sets: 8, Ways: 8, Block Size: 128, Hit Rate: 88.78%, AMAT: 1.45, Area: 40000.00, AMAT Diff: 29.73%, Area Diff: 0.00%, Total Diff: 29.73%
Sets: 16, Ways: 2, Block Size: 128, Hit Rate: 90.91%, AMAT: 1.36, Area: 20000.00, AMAT Diff: 22.11%, Area Diff: -50.00%, Total Diff: -27.89%
Sets: 16, Ways: 4, Block Size: 128, Hit Rate: 90.91%, AMAT: 1.36, Area: 40000.00, AMAT Diff: 22.11%, Area Diff: 0.00%, Total Diff: 22.11%
Sets: 16, Ways: 8, Block Size: 128, Hit Rate: 90.91%, AMAT: 1.36, Area: 80000.00, AMAT Diff: 22.11%, Area Diff: 100.00%, Total Diff: 122.11%
Sets: 32, Ways: 2, Block Size: 128, Hit Rate: 95.20%, AMAT: 1.19, Area: 40000.00, AMAT Diff: 6.72%, Area Diff: 0.00%, Total Diff: 6.72%
